Source,Target,Weight
black beans,"whole kernel corn, drain",0.3144858848809403
artichoke hearts,salami,0.2775952901421116
clam juice,sea scallops,0.2895256726213226
capsicum,fillets,0.25906284710649397
baby bok choy,egg noodles,0.2504204026284411
corn flour,tomato ketchup,0.30845837618248056
fat skimmed chicken broth,polenta,0.29757409382559835
chicken wings,gochujang base,0.27234770852797235
boneless pork shoulder,hamburger buns,0.25266999974758664
egg whites,vegetable oil cooking spray,0.2699076503014719
pizza doughs,pizza sauce,0.3893484446981144
jumbo shrimp,sea scallops,0.2787143080117551
cream style corn,white cornmeal,0.28005192111246024
couscous,lamb shoulder,0.2981693070101238
mint,rice vermicelli,0.3018583974987627
creole seasoning,worcestershire sauce,0.27917665016196797
curry leaves,oil,0.2742805154902347
coriander,paneer,0.2572546384015913
kimchi,sesame oil,0.2703990120780242
coarse sea salt,pork belly,0.2666844643463067
dried oregano,dried thyme,0.25427039053154415
bread flour,instant yeast,0.42263793888625256
mozzarella cheese,ricotta cheese,0.3274172120157716
rice noodles,unsalted dry roast peanuts,0.3013596963456616
clarified butter,coarse kosher salt,0.30959393918949796
kimchi,toasted sesame oil,0.25367482138748976
bamboo shoots,dried shiitake mushrooms,0.3037302298281461
chickpea flour,fenugreek leaves,0.31556388814761915
ground sirloin,reduced fat sharp cheddar cheese,0.26790397370430996
jumbo shrimp,puff pastry,0.27287277492522566
black beans,frozen corn kernels,0.27161962104398374
green pepper,red pepper,0.3289319970835671
extra firm tofu,rice noodles,0.261721003095018
mexican oregano,tomatillos,0.27090542234390375
long-grain rice,smoked sausage,0.2662531354623258
egg substitute,fresh raspberries,0.25765252715850195
almond extract,confectioners sugar,0.31839344540064146
clove,peppercorns,0.3108596000041566
reduced fat sharp cheddar cheese,white hominy,0.26364783471830294
cooked chicken breasts,unsalted dry roast peanuts,0.2597427806509421
ground allspice,malt vinegar,0.30661357509401765
firm tofu,tamari soy sauce,0.2734270045301297
coconut milk,thai basil,0.26892478896560457
red enchilada sauce,whole wheat tortillas,0.3136119330080039
chipotle peppers,chuck roast,0.31507505503480776
chees fresh mozzarella,fresh basil leaves,0.287304938919132
rum,vanilla ice cream,0.2789338478624276
golden raisins,slivered almonds,0.29595143290611897
extra sharp cheddar cheese,quickcooking grits,0.2506929201741902
clams,fat skimmed chicken broth,0.25019986183062
chips,poblano peppers,0.26125151607338876
dark soy sauce,oyster sauce,0.31740447442009084
fenugreek seeds,grated coconut,0.3221870000814731
frozen chopped spinach,pasta sauce,0.29637658363033903
curry leaves,grated coconut,0.3961416804263676
crushed ice,tequila,0.3063389493564001
instant espresso powder,unflavored gelatin,0.25805247314851054
mirin,soy sauce,0.2879595072142196
kaffir lime leaves,red chili peppers,0.26246976045535253
cream,paneer,0.34260959251893625
mustard seeds,red lentils,0.265434487188601
dry yeast,fat free milk,0.2527093455390861
crawfish,green bell pepper,0.26791998543343476
garlic powder,paprika,0.2672799277526042
pork belly,shrimp paste,0.3030403571708899
coriander,fenugreek leaves,0.28522906967469736
chili flakes,spring onions,0.2560011374779756
almonds,anise,0.29436000215200864
cumin,oregano,0.28854739185018996
ripe olives,shredded lettuce,0.29705088526096796
ground allspice,ground cloves,0.33657445943467323
coconut cream,galangal,0.2585330605696889
chopped onion,lower sodium chicken broth,0.2803071090849285
mozzarella cheese,pizza doughs,0.31901299774083486
fat free milk,gruyere cheese,0.27135680288538055
chopped pecans,firmly packed light brown sugar,0.2744635636133927
fruit,rum,0.32546020813242565
large egg yolks,whole milk,0.3045892972847601
beets,cabbage,0.2816916925896
grits,sharp cheddar cheese,0.31888172463382947
kidney beans,taco seasoning mix,0.3108938920369872
baby bok choy,dried shiitake mushrooms,0.28823887013336524
lower sodium soy sauce,sriracha,0.2522436233534771
cooked chicken,cream of chicken soup,0.30151917547432294
ginger,green chilies,0.255393078761981
coconut,green chilies,0.2566372455529602
sambal ulek,shiitake mushroom caps,0.27148886448727433
butternut squash,chopped fresh sage,0.32849967930528046
cumin seed,fenugreek leaves,0.2908461625712038
celery seed,red cabbage,0.26310786633082534
italian sausage,ricotta cheese,0.2803203763543847
avocado,cotija,0.2719237915490034
jasmine rice,lemon grass,0.26083378691250086
garlic paste,green cardamom pods,0.25829019935059827
asafoetida,fenugreek leaves,0.3170506241722372
fillets,thai green curry paste,0.25906284710649397
chopped pecans,maple syrup,0.2552572936510165
cashew nuts,green chilies,0.26017400180768396
fresh oregano leaves,spinach leaves,0.25542915005217026
amchur,red chili powder,0.4019702332350968
clove,paneer,0.2538039429721583
italian turkey sausage,rigatoni,0.26657180130722313
pineapple,pineapple juice,0.3239067465582036
french bread,oysters,0.28226865160859815
dark sesame oil,dry roasted peanuts,0.2737361705190656
amchur,boiling potatoes,0.2866168510041397
lasagna noodles,tomato sauce,0.26673650948033745
confectioners sugar,granulated sugar,0.30819427811948613
extra firm tofu,maple syrup,0.2614979492436053
arborio rice,saffron threads,0.29616051568400714
boneless pork loin,sambal ulek,0.3104988816976356
half & half,vanilla beans,0.26117640831242156
nori,sushi rice,0.47547816962553663
bamboo shoots,chili oil,0.30305745543567
buttermilk,shortening,0.2799525405129021
grating cheese,guacamole,0.2588608654500763
arborio rice,low sodium chicken broth,0.2586625776365384
sake,soy sauce,0.28130016791160445
italian seasoning,pasta sauce,0.3023922204000792
mustard seeds,urad dal,0.3779767255222147
2% reduced-fat milk,fat,0.28582658225884955
brown mustard seeds,cumin seed,0.33310966473119685
clam juice,medium shrimp,0.27844832376278367
reduced sodium soy sauce,toasted sesame oil,0.32133976653549073
cooked rice,okra,0.254593480436198
cream of chicken soup,taco seasoning,0.258525412608351
clams,mussels,0.4002073589158661
galangal,prawns,0.27233362304405917
dashi,miso paste,0.3894900091853446
fish sauce,unsalted dry roast peanuts,0.27711577554225536
corn tortillas,queso fresco,0.325655198883099
grating cheese,sweet corn,0.25572498139348526
dark rum,vanilla beans,0.2570638054493403
bok choy,chinese cabbage,0.253380776516906
basil leaves,fresh mozzarella,0.31262805696381724
dried shiitake mushrooms,oyster sauce,0.2889125086416123
dried apricot,golden raisins,0.27161898409224144
curry,ghee,0.2644252815832922
smoked paprika,spanish chorizo,0.3009039618796191
light soy sauce,szechwan peppercorns,0.28436821400544887
pork belly,shaoxing wine,0.26955660418852967
coconut,garlic paste,0.25755913263140817
hamburger buns,pork butt,0.2644119648639719
baguette,daikon,0.26813972421570553
chipotle chile,mexican oregano,0.2618579521735002
cardamom,curds,0.38456290593918135
picante sauce,refried beans,0.29602212882375745
light mayonnaise,prepared horseradish,0.25059549138504444
red kidney beans,smoked ham hocks,0.2662716888506084
bird chile,kaffir lime leaves,0.3530792594879629
thai chile,thai fish sauce,0.2946333010358074
ramen noodles,shredded carrots,0.2588564563646634
beef broth,dry red wine,0.25549790846752235
raspberries,unflavored gelatin,0.3192777013753345
cannellini beans,swiss chard,0.30618339446075477
tomato ketchup,yoghurt,0.2519845834235469
pasta sauce,seasoned bread crumbs,0.25858357265023685
cilantro leaves,red chili powder,0.2539541488451586
diced green chilies,shredded monterey jack cheese,0.25645486605973616
orange,orange juice,0.29325380136921275
cognac,pearl onions,0.2707212425044434
pitted kalamata olives,seedless cucumber,0.25241311129684524
pasta sauce,shredded mozzarella cheese,0.3891501699286434
rice paper,roasted peanuts,0.2696184446780994
refried beans,taco shells,0.3098216470376415
edamame,shredded carrots,0.29266688308612904
black beans,salsa,0.31013805213101137
mayonaise,pimentos,0.28384477035135464
cocoa powder,mascarpone,0.3018739139677298
bottled clam juice,chorizo,0.26742973778473667
curds,paneer,0.31680643500062367
rice vermicelli,unsalted dry roast peanuts,0.3223000025748502
bottled clam juice,cilantro stems,0.2643528938716462
bittersweet chocolate,coffee,0.2958845976087584
cilantro stems,thai fish sauce,0.27380524395228356
parmigiano-reggiano cheese,reduced fat milk,0.31153185201764594
freshly grated parmesan,marinara sauce,0.253248796844693
asafoetida,black mustard seeds,0.4005389871674242
sour cream,taco seasoning mix,0.27714011419880963
pecorino romano cheese,sweet italian sausage,0.27754305863897505
cajun seasoning,catfish fillets,0.259433863934641
instant espresso powder,whipped cream,0.2615313190780643
large egg whites,large egg yolks,0.3014359575688823
cardamom,fenugreek leaves,0.26187084386303167
black beans,mexican cheese blend,0.2776686721766776
cognac,crème fraîche,0.25161878454893916
italian seasoning,lasagna noodles,0.26565930913742053
plums,vanilla beans,0.2856856769935038
gochujang base,soy sauce,0.2511357087969715
guacamole,taco shells,0.29682522575340664
chopped green chilies,taco seasoning mix,0.2502541162294805
fat skimmed chicken broth,fennel,0.2648403675463299
cardamom pods,cinnamon sticks,0.3733792906909049
gari,salmon,0.3221694851866723
semi-sweet chocolate morsels,vanilla ice cream,0.25193176779781606
lard,pork butt,0.2501042918551134
capsicum,spring onions,0.2664434086289462
chicken bouillon granules,chicken meat,0.28396255146131993
italian seasoning,part-skim mozzarella cheese,0.2976488191551938
oyster sauce,shaoxing wine,0.3330441737987198
dark rum,pineapple juice,0.25764872927096777
green chilies,mace,0.3034638781450219
lemongrass,shrimp paste,0.38679777844079943
dried shiitake mushrooms,nori,0.2951709536200443
chorizo sausage,short-grain rice,0.26033796095476947
mango,pineapple,0.27937366488046445
salsa,sour cream,0.3195061962656307
clove,curds,0.2894706960054443
capers,italian parsley leaves,0.251748610415619
mace,nutmeg,0.3643886330656089
taco seasoning,tortilla chips,0.2664105537628431
chili pepper,szechwan peppercorns,0.3506610629938167
brown mustard seeds,ground turmeric,0.2706155369547349
chuck,pearl onions,0.26874253627973893
lime slices,orange liqueur,0.3642627864485803
prawns,sunflower oil,0.30201242425423813
dried shiitake mushrooms,tofu,0.26791382442549866
picante sauce,sliced black olives,0.2831301566969449
fat free milk,frozen whole kernel corn,0.26621059123428653
prunes,spices,0.2899470543005081
chives,wild mushrooms,0.2516816634909041
capsicum,chili sauce,0.27698075550933987
chillies,fenugreek leaves,0.2791645335996042
kasuri methi,paneer,0.4621092328213182
fresh chives,white mushrooms,0.2559441800182488
fat free yogurt,leg of lamb,0.2621530226440021
marinara sauce,ricotta cheese,0.2888501901223409
diced green chilies,grating cheese,0.30132488539465535
ghee,urad dal,0.3063124444302946
fresh raspberries,semisweet chocolate,0.30223315596822053
cardamom pods,clove,0.39694020022251186
chorizo,clams,0.2874509405605685
mexican oregano,pork shoulder,0.28532514411390797
mozzarella cheese,pizza sauce,0.3243468895945297
beef brisket,prepared horseradish,0.2878095199423348
cinnamon sticks,fennel seeds,0.250709502854819
canned tomatoes,rib,0.25006200088456176
coriander,garam masala,0.29355411221974465
ground turmeric,red lentils,0.2621861698091931
crimini mushrooms,dried porcini mushrooms,0.28735716593241784
sesame oil,wonton wrappers,0.2617802293915182
lamb shoulder,saffron threads,0.26765416500054345
chipotle chile,guajillo chiles,0.2912991617781393
dark sesame oil,water chestnuts,0.2978382078785955
instant yeast,warm water,0.2906046245108238
corn husks,dough,0.2950486613939632
bittersweet chocolate,light corn syrup,0.2593488831755137
broccoli florets,cauliflower florets,0.28109405335508625
gingerroot,water chestnuts,0.2560609153717311
chopped fresh mint,cucumber,0.25385003815742374
black peppercorns,whole cloves,0.3831285001990469
fresh raspberries,unflavored gelatin,0.2757215745466705
parsley sprigs,wild mushrooms,0.2536006166439618
crème fraîche,wild mushrooms,0.31807579341266107
blackberries,vanilla beans,0.2608490496055991
bow-tie pasta,sun-dried tomatoes,0.2946913229380354
kaffir lime leaves,thai fish sauce,0.3172372151104121
salami,sliced black olives,0.2859031320477302
fish stock,sea scallops,0.28363232030844354
chopped walnuts,dried currants,0.26032035845954415
miso paste,shiitake,0.2646412496959734
dried currants,fruit,0.30971056070424324
large egg yolks,vanilla beans,0.3583899167780293
rosemary sprigs,tea bags,0.2669979555926256
rosemary,sage,0.4013006402112407
malt vinegar,steamed rice,0.28934391040829177
beets,parsnips,0.30019525853433576
grated coconut,green chilies,0.297995349846357
coconut milk,lemon grass,0.30200084202656396
ramen noodles,spices,0.29122515524709797
chips,chunky salsa,0.2626223616569806
large egg whites,seasoned bread crumbs,0.25489572503746916
black mustard seeds,tamarind paste,0.27988505340766545
lime zest,thai red curry paste,0.2654697637581296
cinnamon sticks,red chili powder,0.2887772754441167
large eggs,white cornmeal,0.25117766077464126
cream,garam masala,0.27084222977217515
pepperoni,provolone cheese,0.3050520330894684
monterey jack,tortilla chips,0.25887686310114194
canned tomatoes,fish stock,0.25006200088456176
cinnamon sticks,dried apricot,0.2575658729854945
fat skimmed chicken broth,salad oil,0.45241128324729224
dressing,salad,0.34815080225233097
instant espresso powder,large egg yolks,0.3297719476407263
brown mustard seeds,fenugreek seeds,0.3196361495409207
red curry paste,white mushrooms,0.25032007464625766
caster sugar,plain flour,0.37248584616724084
lime slices,pico de gallo,0.25674363121218946
butternut squash,lower sodium chicken broth,0.27686411757360796
frozen pastry puff sheets,vanilla ice cream,0.3099293661483905
chicken breasts,cream of chicken soup,0.25403600061647397
asafoetida,red chili peppers,0.28247127509432834
extra firm tofu,white miso,0.27734253977391543
dried shiitake mushrooms,short-grain rice,0.2952795877041664
beets,cider vinegar,0.25090771837024944
parmigiano reggiano cheese,penne,0.2616610210774277
orange bell pepper,yellow bell pepper,0.3466778654620553
semisweet chocolate,whipping cream,0.33967261413318417
refried beans,shredded cheese,0.2780297906297191
black beans,frozen corn,0.34430221474581346
coconut oil,fresh curry leaves,0.26058492177655423
catfish fillets,creole seasoning,0.30016268143025093
andouille sausage,celery ribs,0.30701339879210776
cinnamon sticks,green cardamom pods,0.37859571778434664
red lentils,vegetable broth,0.2517642736041927
chillies,cornflour,0.2761848816470564
baby bok choy,rice noodles,0.2580871453172788
marinara sauce,shredded mozzarella cheese,0.2869648533049444
light corn syrup,vanilla extract,0.30207748236700077
fenugreek leaves,tomato purée,0.25639145725622176
galangal,lime zest,0.31058757750791244
frozen whole kernel corn,mexican cheese blend,0.26386320806477664
green chilies,yoghurt,0.2985109927754176
almond extract,sliced almonds,0.3258587274620931
corn flour,malt vinegar,0.26536382072449655
guajillo chiles,masa harina,0.3000949733611934
corn husks,masa harina,0.43812978515020967
fresh pineapple,pineapple juice,0.33457382987493295
curds,mustard seeds,0.2759511641460119
ground pork,shaoxing wine,0.2680716046864876
beef rib short,rice wine,0.25837553299076
reduced sodium soy sauce,soba noodles,0.27024436804598584
salmon,soba noodles,0.26204837883776483
baking soda,pure vanilla extract,0.2588880067986672
lobster,white wine,0.261305220441348
dark rum,dried currants,0.2678262583236677
creamy peanut butter,red curry paste,0.2850820585780887
guacamole,skirt steak,0.2523212809355807
dried shiitake mushrooms,soba noodles,0.2666844643463067
guajillo chiles,white onion,0.29001509903507156
all-purpose flour,baking powder,0.3071529162178242
thai fish sauce,unsalted dry roast peanuts,0.3293791143384309
clarified butter,diced celery,0.2506929201741902
artichokes,fresh dill,0.26184012420787
coriander seeds,mustard seeds,0.2722540134549461
cachaca,crushed ice,0.4617790103322938
chunky salsa,taco shells,0.2503040016201775
cheese,taco seasoning,0.2674046428260111
mascarpone,unflavored gelatin,0.2564242818524866
cream of tartar,large egg yolks,0.2738269616171575
bamboo shoots,shiitake mushroom caps,0.2649356200892803
coriander powder,green cardamom,0.36776049896895213
collard greens,mustard greens,0.2659324740355683
bourbon whiskey,peaches,0.2672832416251142
cashew nuts,ghee,0.3237686859396699
curds,curry leaves,0.2923090677656188
clove,cumin seed,0.29794510193476315
artichok heart marin,salami,0.283858962564942
cinnamon,nutmeg,0.34929018542283563
mexican cheese blend,refried beans,0.3112673047425598
ground chicken,white sesame seeds,0.2729884115330635
creamy peanut butter,thai red curry paste,0.3187477005738624
dried apricot,prunes,0.35175979066139346
creole mustard,green tomatoes,0.2804247884089161
hoisin sauce,water chestnuts,0.2598691108852036
lemon grass,shrimp paste,0.3194422596573019
fresh rosemary,rosemary sprigs,0.3131007994202482
bittersweet chocolate,granulated sugar,0.2620671548681764
basmati rice,ghee,0.30380830997557545
garlic paste,green chilies,0.35148835476169893
ripe olives,salami,0.27876548785599387
balsamic vinegar,chees fresh mozzarella,0.2760908596982744
chickpeas,couscous,0.2900726536054944
pears,walnuts,0.2675637850233451
shallots,wild mushrooms,0.2554852980760677
fresh marjoram,fresh thyme,0.26250173029499824
cumin seed,ghee,0.294058862199863
curds,star anise,0.2505907651568785
mexican cheese blend,red enchilada sauce,0.32524001527429064
chinese rice wine,garlic chili sauce,0.2520435863617529
pumpkin,vegetable stock,0.2809905506620083
corn tortillas,salsa verde,0.27390830467895516
ancho chile pepper,anise seed,0.29494312431234143
instant espresso powder,mascarpone,0.3162852040509356
fennel,lobster,0.2599824617775247
firmly packed light brown sugar,whipping cream,0.2968344059736938
beansprouts,lime wedges,0.27897349752938627
anise seed,guajillo chiles,0.27978533110033915
garlic chili sauce,rice noodles,0.26600600080444514
chicken drumsticks,chicken thighs,0.3582885461418871
dark soy sauce,egg noodles,0.28676116623059816
curry,garlic paste,0.31325229314830905
beef tenderloin,frozen pastry puff sheets,0.3220139011433762
fat free yogurt,semolina,0.2537812350591646
hoisin sauce,marinade,0.26468098630818276
capsicum,green chilies,0.26478969340272723
cinnamon sticks,green cardamom,0.3719852198289041
black beans,mexican cheese,0.27188461333646785
crushed tomatoes,sweet italian sausage,0.27163304106831543
sliced black olives,taco seasoning mix,0.3508655581484017
dried shiitake mushrooms,shaoxing wine,0.2779137426775675
ground beef,taco seasoning mix,0.27854475983433036
kimchi,seaweed,0.28754483262723224
peanuts,sweet chili sauce,0.28528569765989703
jicama,pineapple,0.27107737845401947
enchilada sauce,tortillas,0.2946897825416953
mexican oregano,poblano peppers,0.26196835185381867
bread flour,dry yeast,0.41041422101634795
red chili peppers,urad dal,0.2539838597689377
mascarpone,powdered sugar,0.2648462079028933
grated orange peel,orange juice,0.2947389302160924
blanched almonds,raisins,0.2559066707740217
instant espresso powder,powdered sugar,0.2751736948490014
jasmine rice,red curry paste,0.2737929111955767
salad dressing,"whole kernel corn, drain",0.250380254975614
black peppercorns,cumin seed,0.2760918068652349
coconut milk,curry,0.29136609328604474
condensed cream of chicken soup,poultry seasoning,0.3481309639750107
fresh herbs,tomato juice,0.28909058898172907
low-fat sour cream,white hominy,0.2524698053795447
green chilies,masala,0.2662373145680811
ground cloves,molasses,0.2778688080324803
curds,saffron,0.28359381958795304
bamboo shoots,pork loin chops,0.25091400211031917
rice noodles,thai basil,0.3194548353040999
dark rum,roasting chickens,0.2528081063891207
cardamom pods,fenugreek leaves,0.282540452145407
chunky salsa,shredded lettuce,0.25975809801246913
chopped celery,finely chopped onion,0.2745649700830384
chorizo,lobster,0.2688410541634837
hominy,radishes,0.3539299798480005
cardamom,mint leaves,0.30650031449537823
cumin seed,red chili powder,0.29481533975420177
shredded cheese,taco shells,0.2547194597897746
reduced sodium soy sauce,snow peas,0.2614282987687342
lower sodium soy sauce,serrano chile,0.2519845834235469
rotisserie chicken,taco shells,0.25449751393417486
clarified butter,fresh curry leaves,0.26638929378581894
italian seasoning,pizza sauce,0.28081832152832653
cauliflower,masala,0.26058492177655423
bird chile,lemongrass,0.3026241593343552
ramen noodles,white miso,0.3591911150966184
boiling potatoes,canned low sodium chicken broth,0.2971434901720009
kaffir lime leaves,lemon grass,0.4075003824259261
ground beef,shredded cheddar cheese,0.2713608609427375
california bay leaves,white beans,0.29559392324028144
chillies,spring onions,0.300600837180923
peanut oil,szechwan peppercorns,0.2825164954636636
kimchi,pork belly,0.356699161397008
cajun seasoning,chopped green bell pepper,0.25282299282591036
masala,paneer,0.2745717834418542
chopped green chilies,shredded monterey jack cheese,0.2953574464590497
fresh dill,smoked salmon,0.270781905465585
cornflour,fillets,0.31013614965716296
mirin,reduced sodium soy sauce,0.26000811551462977
mexican cheese blend,salsa,0.29078701260979845
cinnamon sticks,ginger paste,0.26716341589212783
poblano chiles,tomatillos,0.2888916913134264
lump crab meat,scallion greens,0.2791855402697983
beer,chuck,0.25215772422246924
fresh raspberries,vanilla beans,0.2752036995307308
crawfish,lump crab meat,0.33063655721825297
andouille sausage,green bell pepper,0.31564636157084336
bird chile,cilantro stems,0.317873259215618
beets,dill,0.2918608175790714
anchovy paste,dijon mustard,0.3089363131623271
ghee,mustard seeds,0.27337998172547145
lean ground beef,tomato sauce,0.25762604985459137
mirin,shiitake,0.25183563202035975
anchovy paste,kalamata,0.25445684569444976
fresh orange juice,orange zest,0.3274092308674596
fruit,lime slices,0.28934391040829177
kasuri methi,mace,0.2549618097010955
dressing,navel oranges,0.26370632396915317
gingerroot,scallion greens,0.2509342197158293
chiles,galangal,0.30082086461977064
orzo,peeled tomatoes,0.25744231999840256
chickpea flour,rice flour,0.30656861344102887
