id,label,frequency,group
clam juice,clam juice,92,1
orzo,orzo,91,1
kidney beans,kidney beans,159,1
pork,pork,300,1
penne pasta,penne pasta,178,1
dried porcini mushrooms,dried porcini mushrooms,100,1
freshly grated parmesan,freshly grated parmesan,105,1
canned black beans,canned black beans,79,1
thai chile,thai chile,223,1
grated gruyère cheese,grated gruyère cheese,61,1
marinade,marinade,81,1
firmly packed light brown sugar,firmly packed light brown sugar,55,1
chopped fresh thyme,chopped fresh thyme,375,1
fresh mint,fresh mint,416,1
spanish chorizo,spanish chorizo,51,1
fish stock,fish stock,59,1
dried shiitake mushrooms,dried shiitake mushrooms,124,1
bay leaves,bay leaves,1036,1
half & half,half & half,337,1
fresh tarragon,fresh tarragon,142,1
white wine,white wine,367,1
arborio rice,arborio rice,292,1
chickpeas,chickpeas,402,1
galangal,galangal,85,1
parsley sprigs,parsley sprigs,140,1
bird chile,bird chile,60,1
cocoa powder,cocoa powder,60,1
part-skim mozzarella cheese,part-skim mozzarella cheese,227,1
peanuts,peanuts,406,1
mussels,mussels,175,1
kalamata,kalamata,196,1
frozen pastry puff sheets,frozen pastry puff sheets,106,1
semolina,semolina,60,1
raspberries,raspberries,81,1
peanut oil,peanut oil,610,1
green bell pepper,green bell pepper,1180,1
orange bell pepper,orange bell pepper,93,1
skim milk,skim milk,81,1
vinegar,vinegar,316,1
asiago,asiago,85,1
ground cayenne pepper,ground cayenne pepper,139,1
leaves,leaves,93,1
active dry yeast,active dry yeast,377,1
hot sauce,hot sauce,674,1
cooked chicken,cooked chicken,296,1
chili sauce,chili sauce,147,1
shredded lettuce,shredded lettuce,175,1
cinnamon,cinnamon,696,1
curry leaves,curry leaves,219,1
evaporated milk,evaporated milk,208,1
chopped cilantro fresh,chopped cilantro fresh,1698,1
marsala wine,marsala wine,121,1
italian salad dressing,italian salad dressing,66,1
guacamole,guacamole,185,1
elbow macaroni,elbow macaroni,90,1
fresh oregano,fresh oregano,394,1
canned low sodium chicken broth,canned low sodium chicken broth,96,1
mexican cheese,mexican cheese,68,1
feta cheese crumbles,feta cheese crumbles,358,1
chopped fresh chives,chopped fresh chives,227,1
shredded cabbage,shredded cabbage,111,1
grating cheese,grating cheese,67,1
smoked sausage,smoked sausage,139,1
skinless chicken breasts,skinless chicken breasts,61,1
lime,lime,1439,1
sake,sake,345,1
brown rice,brown rice,202,1
fresh basil leaves,fresh basil leaves,502,1
pears,pears,97,1
tea bags,tea bags,54,1
haricots verts,haricots verts,54,1
chicken thighs,chicken thighs,336,1
white sesame seeds,white sesame seeds,76,1
coriander powder,coriander powder,246,1
unsalted dry roast peanuts,unsalted dry roast peanuts,58,1
yoghurt,yoghurt,247,1
dried rosemary,dried rosemary,173,1
apple juice,apple juice,51,1
butternut squash,butternut squash,174,1
squid,squid,85,1
lean ground beef,lean ground beef,388,1
leg of lamb,leg of lamb,89,1
mexican cheese blend,mexican cheese blend,174,1
green peas,green peas,212,1
orange liqueur,orange liqueur,61,1
dressing,dressing,63,1
pasta,pasta,321,1
chopped fresh mint,chopped fresh mint,317,1
poblano peppers,poblano peppers,119,1
mexican oregano,mexican oregano,100,1
frozen whole kernel corn,frozen whole kernel corn,84,1
white bread,white bread,130,1
yellow squash,yellow squash,116,1
garlic powder,garlic powder,1442,1
honey,honey,1299,1
cilantro stems,cilantro stems,71,1
granulated sugar,granulated sugar,849,1
pizza doughs,pizza doughs,117,1
fresh orange juice,fresh orange juice,209,1
crème fraîche,crème fraîche,145,1
superfine sugar,superfine sugar,73,1
ground chicken,ground chicken,102,1
shiitake mushroom caps,shiitake mushroom caps,63,1
fresh shiitake mushrooms,fresh shiitake mushrooms,96,1
dried currants,dried currants,95,1
rotini,rotini,60,1
baby spinach leaves,baby spinach leaves,103,1
ramen noodles,ramen noodles,60,1
monterey jack,monterey jack,235,1
pure vanilla extract,pure vanilla extract,169,1
red bell pepper,red bell pepper,1939,1
vodka,vodka,74,1
smoked paprika,smoked paprika,345,1
cooked white rice,cooked white rice,145,1
mayonaise,mayonaise,781,1
pork tenderloin,pork tenderloin,228,1
fresh coriander,fresh coriander,285,1
dry sherry,dry sherry,256,1
fish sauce,fish sauce,1247,1
cooked chicken breasts,cooked chicken breasts,111,1
"whole kernel corn, drain","whole kernel corn, drain",106,1
low sodium soy sauce,low sodium soy sauce,425,1
tilapia fillets,tilapia fillets,73,1
green beans,green beans,341,1
cotija,cotija,139,1
bittersweet chocolate,bittersweet chocolate,140,1
light soy sauce,light soy sauce,347,1
lamb,lamb,62,1
creole seasoning,creole seasoning,276,1
large shrimp,large shrimp,414,1
parsley leaves,parsley leaves,60,1
chinese cabbage,chinese cabbage,59,1
fat free milk,fat free milk,134,1
corn oil,corn oil,121,1
fresh rosemary,fresh rosemary,442,1
unsalted butter,unsalted butter,2782,1
parsnips,parsnips,68,1
lamb shoulder,lamb shoulder,84,1
chicken wings,chicken wings,133,1
light sour cream,light sour cream,55,1
green cabbage,green cabbage,208,1
cardamom,cardamom,106,1
fresh marjoram,fresh marjoram,62,1
orange zest,orange zest,152,1
non-fat sour cream,non-fat sour cream,133,1
salsa,salsa,963,1
cabbage,cabbage,416,1
goat cheese,goat cheese,169,1
frozen peas,frozen peas,383,1
bread slices,bread slices,50,1
almond extract,almond extract,173,1
red lentils,red lentils,110,1
boneless skinless chicken breast halves,boneless skinless chicken breast halves,618,1
pizza sauce,pizza sauce,80,1
kaffir lime leaves,kaffir lime leaves,133,1
prawns,prawns,92,1
mango,mango,268,1
beef stock,beef stock,160,1
tahini,tahini,62,1
oysters,oysters,60,1
parmigiano-reggiano cheese,parmigiano-reggiano cheese,61,1
fresh parmesan cheese,fresh parmesan cheese,286,1
extra firm tofu,extra firm tofu,137,1
pico de gallo,pico de gallo,79,1
light brown sugar,light brown sugar,422,1
vegetable oil cooking spray,vegetable oil cooking spray,260,1
jack cheese,jack cheese,118,1
sirloin steak,sirloin steak,69,1
dough,dough,105,1
soba noodles,soba noodles,68,1
andouille sausage,andouille sausage,267,1
diced celery,diced celery,86,1
unsweetened coconut milk,unsweetened coconut milk,191,1
plain yogurt,plain yogurt,364,1
fresh parsley leaves,fresh parsley leaves,132,1
chili oil,chili oil,109,1
long-grain rice,long-grain rice,353,1
rosemary sprigs,rosemary sprigs,108,1
avocado,avocado,1229,1
vegetable oil spray,vegetable oil spray,84,1
chopped green bell pepper,chopped green bell pepper,268,1
golden raisins,golden raisins,240,1
low salt chicken broth,low salt chicken broth,385,1
orange,orange,355,1
chipotle peppers,chipotle peppers,67,1
salad oil,salad oil,56,1
sauce,sauce,458,1
whole cloves,whole cloves,76,1
coffee,coffee,69,1
red food coloring,red food coloring,71,1
lower sodium chicken broth,lower sodium chicken broth,71,1
ground red pepper,ground red pepper,538,1
pecans,pecans,144,1
blackberries,blackberries,91,1
salsa verde,salsa verde,135,1
garlic paste,garlic paste,282,1
granny smith apples,granny smith apples,119,1
fennel bulb,fennel bulb,205,1
whole wheat tortillas,whole wheat tortillas,93,1
powdered sugar,powdered sugar,501,1
prunes,prunes,61,1
vanilla beans,vanilla beans,167,1
red enchilada sauce,red enchilada sauce,65,1
finely chopped onion,finely chopped onion,457,1
coriander,coriander,458,1
chopped onion,chopped onion,1251,1
plain flour,plain flour,154,1
cider vinegar,cider vinegar,348,1
urad dal,urad dal,68,1
potatoes,potatoes,1018,1
gingerroot,gingerroot,119,1
asian fish sauce,asian fish sauce,158,1
tortilla chips,tortilla chips,302,1
chuck,chuck,67,1
baby carrots,baby carrots,72,1
sliced almonds,sliced almonds,187,1
serrano peppers,serrano peppers,104,1
bamboo shoots,bamboo shoots,137,1
condensed cream of mushroom soup,condensed cream of mushroom soup,55,1
stock,stock,90,1
biscuits,biscuits,55,1
parmesan cheese,parmesan cheese,591,1
clams,clams,94,1
allspice,allspice,129,1
lime zest,lime zest,137,1
taco seasoning,taco seasoning,271,1
sweet paprika,sweet paprika,134,1
fish,fish,91,1
fish fillets,fish fillets,77,1
refrigerated piecrusts,refrigerated piecrusts,71,1
pistachios,pistachios,64,1
ground nutmeg,ground nutmeg,605,1
boneless pork loin,boneless pork loin,62,1
escarole,escarole,60,1
chipotle chile,chipotle chile,150,1
dry roasted peanuts,dry roasted peanuts,64,1
beaten eggs,beaten eggs,58,1
lemongrass,lemongrass,364,1
pinto beans,pinto beans,171,1
savoy cabbage,savoy cabbage,55,1
condensed milk,condensed milk,74,1
instant espresso powder,instant espresso powder,61,1
garam masala,garam masala,925,1
szechwan peppercorns,szechwan peppercorns,142,1
swiss cheese,swiss cheese,55,1
hard-boiled egg,hard-boiled egg,104,1
grits,grits,184,1
condensed cream of chicken soup,condensed cream of chicken soup,62,1
linguine,linguine,248,1
potato starch,potato starch,59,1
bread crumb fresh,bread crumb fresh,170,1
great northern beans,great northern beans,50,1
cooked shrimp,cooked shrimp,92,1
coconut oil,coconut oil,221,1
sweet italian sausage,sweet italian sausage,78,1
green olives,green olives,177,1
jasmine rice,jasmine rice,152,1
walnuts,walnuts,114,1
tumeric,tumeric,738,1
salami,salami,54,1
all purpose unbleached flour,all purpose unbleached flour,179,1
sweet pepper,sweet pepper,62,1
dried shrimp,dried shrimp,74,1
anchovy fillets,anchovy fillets,189,1
dry yeast,dry yeast,126,1
tomato juice,tomato juice,83,1
mung bean sprouts,mung bean sprouts,85,1
japanese eggplants,japanese eggplants,53,1
steak,steak,64,1
fettucine,fettucine,159,1
vanilla ice cream,vanilla ice cream,93,1
spinach leaves,spinach leaves,72,1
vegetable stock,vegetable stock,192,1
pepperoni,pepperoni,52,1
fresh raspberries,fresh raspberries,92,1
lasagna noodles,lasagna noodles,209,1
cheese,cheese,447,1
anise,anise,62,1
slivered almonds,slivered almonds,167,1
miso paste,miso paste,73,1
malt vinegar,malt vinegar,51,1
cold water,cold water,506,1
toasted sesame oil,toasted sesame oil,355,1
large egg yolks,large egg yolks,575,1
minced ginger,minced ginger,198,1
mixed greens,mixed greens,63,1
russet potatoes,russet potatoes,266,1
ground beef,ground beef,878,1
prepared horseradish,prepared horseradish,72,1
canned tomatoes,canned tomatoes,75,1
adobo sauce,adobo sauce,94,1
old bay seasoning,old bay seasoning,98,1
leeks,leeks,435,1
white cornmeal,white cornmeal,85,1
cajun seasoning,cajun seasoning,376,1
french bread,french bread,192,1
broccoli,broccoli,220,1
guajillo chiles,guajillo chiles,54,1
dark brown sugar,dark brown sugar,319,1
egg noodles,egg noodles,85,1
masala,masala,69,1
fresh thyme leaves,fresh thyme leaves,190,1
celery salt,celery salt,52,1
ketchup,ketchup,432,1
all-purpose flour,all-purpose flour,4632,1
grated coconut,grated coconut,74,1
poppy seeds,poppy seeds,70,1
fresh dill,fresh dill,243,1
kasuri methi,kasuri methi,51,1
brown mustard seeds,brown mustard seeds,57,1
pepper jack,pepper jack,82,1
chopped fresh sage,chopped fresh sage,123,1
thick-cut bacon,thick-cut bacon,56,1
thyme sprigs,thyme sprigs,209,1
angel hair,angel hair,91,1
low-fat sour cream,low-fat sour cream,62,1
nonfat yogurt,nonfat yogurt,51,1
corn husks,corn husks,93,1
liquid,liquid,60,1
ice cubes,ice cubes,130,1
frozen corn,frozen corn,175,1
roma tomatoes,roma tomatoes,227,1
creamy peanut butter,creamy peanut butter,111,1
chicken breast halves,chicken breast halves,152,1
apples,apples,165,1
red curry paste,red curry paste,122,1
ground coriander,ground coriander,768,1
hot pepper sauce,hot pepper sauce,306,1
lime slices,lime slices,51,1
whole milk,whole milk,764,1
tamari soy sauce,tamari soy sauce,90,1
yellow bell pepper,yellow bell pepper,291,1
star anise,star anise,259,1
dried basil,dried basil,585,1
cooking oil,cooking oil,483,1
beef tenderloin,beef tenderloin,65,1
carrots,carrots,2814,1
fillets,fillets,78,1
peppercorns,peppercorns,144,1
fresh ginger,fresh ginger,1503,1
juice,juice,280,1
lump crab meat,lump crab meat,117,1
dried parsley,dried parsley,169,1
pork belly,pork belly,124,1
scallion greens,scallion greens,61,1
coarse kosher salt,coarse kosher salt,64,1
mint,mint,163,1
caster sugar,caster sugar,130,1
clove,clove,600,1
noodles,noodles,225,1
white hominy,white hominy,69,1
chicken legs,chicken legs,117,1
bread flour,bread flour,193,1
"cream cheese, soften","cream cheese, soften",143,1
bow-tie pasta,bow-tie pasta,103,1
coconut cream,coconut cream,77,1
rice wine,rice wine,221,1
heavy whipping cream,heavy whipping cream,216,1
roasting chickens,roasting chickens,61,1
semolina flour,semolina flour,59,1
pecorino cheese,pecorino cheese,55,1
pinenuts,pinenuts,348,1
zucchini,zucchini,892,1
coconut milk,coconut milk,854,1
cornflour,cornflour,103,1
bok choy,bok choy,119,1
corn tortillas,corn tortillas,965,1
salmon,salmon,55,1
chinese rice wine,chinese rice wine,131,1
mace,mace,81,1
mustard,mustard,108,1
shallots,shallots,1477,1
taco shells,taco shells,63,1
dried thyme,dried thyme,873,1
white vinegar,white vinegar,554,1
chile powder,chile powder,120,1
watercress,watercress,104,1
fat free yogurt,fat free yogurt,70,1
cilantro sprigs,cilantro sprigs,215,1
poblano chiles,poblano chiles,155,1
rice paper,rice paper,69,1
ripe olives,ripe olives,92,1
beets,beets,106,1
red chili peppers,red chili peppers,644,1
masa harina,masa harina,100,1
crushed red pepper,crushed red pepper,825,1
corn flour,corn flour,70,1
red beans,red beans,68,1
cashew nuts,cashew nuts,218,1
white beans,white beans,79,1
lemon slices,lemon slices,70,1
fresh mozzarella,fresh mozzarella,97,1
pineapple,pineapple,120,1
sliced carrots,sliced carrots,100,1
radicchio,radicchio,58,1
wine,wine,57,1
ground ginger,ground ginger,678,1
tomatoes with juice,tomatoes with juice,86,1
chees fresh mozzarella,chees fresh mozzarella,76,1
coarse sea salt,coarse sea salt,68,1
tequila,tequila,133,1
pepper flakes,pepper flakes,57,1
sage,sage,54,1
sesame oil,sesame oil,1773,1
fresh thyme,fresh thyme,345,1
fennel,fennel,77,1
seaweed,seaweed,57,1
queso fresco,queso fresco,141,1
shredded carrots,shredded carrots,156,1
lemon zest,lemon zest,249,1
red potato,red potato,205,1
garlic chili sauce,garlic chili sauce,130,1
reduced sodium chicken broth,reduced sodium chicken broth,183,1
grated orange peel,grated orange peel,95,1
celery,celery,837,1
polenta,polenta,148,1
romano cheese,romano cheese,106,1
bacon slices,bacon slices,212,1
rice,rice,509,1
plums,plums,66,1
pumpkin,pumpkin,61,1
catfish fillets,catfish fillets,109,1
chicken livers,chicken livers,65,1
chillies,chillies,121,1
sweet chili sauce,sweet chili sauce,112,1
dry red wine,dry red wine,309,1
swiss chard,swiss chard,103,1
molasses,molasses,106,1
red wine,red wine,229,1
cardamom pods,cardamom pods,154,1
smoked salmon,smoked salmon,55,1
chicken bouillon granules,chicken bouillon granules,50,1
vegetable shortening,vegetable shortening,138,1
jicama,jicama,88,1
chips,chips,53,1
chutney,chutney,53,1
seasoned bread crumbs,seasoned bread crumbs,98,1
crushed tomatoes,crushed tomatoes,453,1
bottled clam juice,bottled clam juice,51,1
chunky salsa,chunky salsa,70,1
greens,greens,96,1
fat free less sodium chicken broth,fat free less sodium chicken broth,473,1
pie crust,pie crust,60,1
crabmeat,crabmeat,79,1
baby bok choy,baby bok choy,86,1
cumin,cumin,953,1
semisweet chocolate,semisweet chocolate,164,1
nutmeg,nutmeg,237,1
agave nectar,agave nectar,81,1
roasted tomatoes,roasted tomatoes,57,1
chopped green chilies,chopped green chilies,58,1
collard greens,collard greens,167,1
bread crumbs,bread crumbs,306,1
sour cream,sour cream,1539,1
green cardamom,green cardamom,86,1
jumbo shrimp,jumbo shrimp,63,1
golden brown sugar,golden brown sugar,83,1
boneless chicken thighs,boneless chicken thighs,53,1
unsweetened cocoa powder,unsweetened cocoa powder,266,1
pork loin,pork loin,71,1
fat skimmed chicken broth,fat skimmed chicken broth,78,1
beef brisket,beef brisket,61,1
kimchi,kimchi,112,1
tabasco pepper sauce,tabasco pepper sauce,184,1
ancho powder,ancho powder,78,1
chicken breasts,chicken breasts,793,1
cream of tartar,cream of tartar,159,1
reduced fat milk,reduced fat milk,76,1
cauliflower,cauliflower,221,1
ground sirloin,ground sirloin,65,1
crawfish,crawfish,118,1
diced onions,diced onions,242,1
dried oregano,dried oregano,1707,1
cilantro leaves,cilantro leaves,1160,1
basil leaves,basil leaves,267,1
dried sage,dried sage,63,1
dried apricot,dried apricot,133,1
firmly packed brown sugar,firmly packed brown sugar,92,1
sage leaves,sage leaves,114,1
edamame,edamame,51,1
anchovy paste,anchovy paste,67,1
chili pepper,chili pepper,126,1
ginger,ginger,1755,1
lemon wedge,lemon wedge,225,1
black olives,black olives,229,1
cilantro,cilantro,1142,1
arugula,arugula,177,1
snow peas,snow peas,183,1
white wine vinegar,white wine vinegar,352,1
feta cheese,feta cheese,268,1
provolone cheese,provolone cheese,165,1
barbecue sauce,barbecue sauce,126,1
mustard seeds,mustard seeds,313,1
thai green curry paste,thai green curry paste,50,1
1% low-fat milk,1% low-fat milk,193,1
dates,dates,58,1
green tomatoes,green tomatoes,108,1
orange juice,orange juice,338,1
fennel seeds,fennel seeds,352,1
garbanzo beans,garbanzo beans,148,1
dark sesame oil,dark sesame oil,201,1
cake flour,cake flour,179,1
rice noodles,rice noodles,263,1
eggplant,eggplant,501,1
chorizo,chorizo,68,1
coarse salt,coarse salt,578,1
salmon fillets,salmon fillets,159,1
peanut butter,peanut butter,122,1
shredded parmesan cheese,shredded parmesan cheese,51,1
sushi rice,sushi rice,81,1
bay leaf,bay leaf,839,1
cooked rice,cooked rice,387,1
large eggs,large eggs,2948,1
ice water,ice water,164,1
pimentos,pimentos,134,1
coconut,coconut,178,1
chicken drumsticks,chicken drumsticks,94,1
mint leaves,mint leaves,263,1
part-skim ricotta cheese,part-skim ricotta cheese,125,1
wild mushrooms,wild mushrooms,50,1
oregano,oregano,440,1
corn kernels,corn kernels,280,1
sweetened coconut flakes,sweetened coconut flakes,74,1
lemon rind,lemon rind,72,1
toasted sesame seeds,toasted sesame seeds,294,1
turkey,turkey,62,1
white pepper,white pepper,439,1
olives,olives,155,1
parmigiano reggiano cheese,parmigiano reggiano cheese,353,1
sherry vinegar,sherry vinegar,160,1
shiitake,shiitake,331,1
shredded sharp cheddar cheese,shredded sharp cheddar cheese,167,1
artichokes,artichokes,75,1
shortening,shortening,229,1
buttermilk,buttermilk,863,1
beer,beer,202,1
cognac,cognac,94,1
fresh chives,fresh chives,113,1
grated lemon zest,grated lemon zest,342,1
spices,spices,171,1
basil,basil,282,1
chili powder,chili powder,2036,1
pork sausages,pork sausages,115,1
white rice,white rice,248,1
grated lemon peel,grated lemon peel,181,1
diced green chilies,diced green chilies,106,1
hoisin sauce,hoisin sauce,429,1
peeled fresh ginger,peeled fresh ginger,582,1
rubbed sage,rubbed sage,51,1
cream cheese,cream cheese,562,1
long grain white rice,long grain white rice,277,1
thai fish sauce,thai fish sauce,108,1
artichok heart marin,artichok heart marin,51,1
black beans,black beans,896,1
sausages,sausages,185,1
hot water,hot water,356,1
ricotta,ricotta,105,1
seasoning salt,seasoning salt,131,1
chili,chili,187,1
light mayonnaise,light mayonnaise,61,1
pesto,pesto,118,1
black mustard seeds,black mustard seeds,112,1
lower sodium soy sauce,lower sodium soy sauce,57,1
capsicum,capsicum,50,1
vanilla,vanilla,311,1
red kidney beans,red kidney beans,95,1
beansprouts,beansprouts,454,1
semi-sweet chocolate morsels,semi-sweet chocolate morsels,77,1
granulated garlic,granulated garlic,50,1
short-grain rice,short-grain rice,62,1
broccoli florets,broccoli florets,190,1
small red potato,small red potato,79,1
sriracha,sriracha,298,1
basmati rice,basmati rice,326,1
clarified butter,clarified butter,51,1
chopped pecans,chopped pecans,282,1
yellow peppers,yellow peppers,51,1
broth,broth,97,1
pasta sauce,pasta sauce,266,1
celery ribs,celery ribs,567,1
apple cider vinegar,apple cider vinegar,268,1
shredded cheese,shredded cheese,157,1
caraway seeds,caraway seeds,82,1
rib,rib,59,1
oyster sauce,oyster sauce,455,1
sliced black olives,sliced black olives,161,1
crushed ice,crushed ice,50,1
cream of chicken soup,cream of chicken soup,83,1
california bay leaves,california bay leaves,50,1
rice vinegar,rice vinegar,1204,1
serrano chile,serrano chile,299,1
ground white pepper,ground white pepper,348,1
sausage links,sausage links,59,1
shredded mozzarella cheese,shredded mozzarella cheese,475,1
baking powder,baking powder,1738,1
thai basil,thai basil,178,1
grated parmesan cheese,grated parmesan cheese,1886,1
ground cinnamon,ground cinnamon,1231,1
halibut fillets,halibut fillets,65,1
chopped celery,chopped celery,426,1
yukon gold potatoes,yukon gold potatoes,218,1
sourdough bread,sourdough bread,50,1
chuck roast,chuck roast,66,1
oil,oil,1970,1
ricotta cheese,ricotta cheese,352,1
kale,kale,157,1
pork loin chops,pork loin chops,53,1
fruit,fruit,50,1
cucumber,cucumber,768,1
konbu,konbu,66,1
napa cabbage,napa cabbage,226,1
dipping sauces,dipping sauces,59,1
ground cumin,ground cumin,2747,1
ground cloves,ground cloves,371,1
egg substitute,egg substitute,72,1
boneless pork shoulder,boneless pork shoulder,79,1
chickpea flour,chickpea flour,51,1
beef broth,beef broth,381,1
fresh curry leaves,fresh curry leaves,69,1
greek style plain yogurt,greek style plain yogurt,117,1
red pepper,red pepper,459,1
chicken meat,chicken meat,55,1
enchilada sauce,enchilada sauce,295,1
picante sauce,picante sauce,56,1
bananas,bananas,224,1
sausage casings,sausage casings,108,1
reduced fat sharp cheddar cheese,reduced fat sharp cheddar cheese,53,1
refried beans,refried beans,250,1
serrano chilies,serrano chilies,81,1
grated nutmeg,grated nutmeg,234,1
puff pastry,puff pastry,51,1
marjoram,marjoram,103,1
panko breadcrumbs,panko breadcrumbs,144,1
saffron,saffron,206,1
sambal ulek,sambal ulek,52,1
gochujang base,gochujang base,142,1
sweet corn,sweet corn,61,1
margarine,margarine,220,1
lettuce,lettuce,183,1
chili paste,chili paste,122,1
unflavored gelatin,unflavored gelatin,108,1
shredded monterey jack cheese,shredded monterey jack cheese,325,1
cumin seed,cumin seed,935,1
italian turkey sausage,italian turkey sausage,54,1
lime rind,lime rind,78,1
cayenne,cayenne,470,1
frozen chopped spinach,frozen chopped spinach,206,1
light corn syrup,light corn syrup,159,1
ghee,ghee,307,1
beef rib short,beef rib short,71,1
cottage cheese,cottage cheese,100,1
chives,chives,206,1
chiles,chiles,321,1
gruyere cheese,gruyere cheese,99,1
rigatoni,rigatoni,65,1
italian parsley leaves,italian parsley leaves,125,1
black-eyed peas,black-eyed peas,196,1
cannellini beans,cannellini beans,203,1
teriyaki sauce,teriyaki sauce,55,1
hot pepper,hot pepper,68,1
white sugar,white sugar,1093,1
cremini mushrooms,cremini mushrooms,138,1
skirt steak,skirt steak,73,1
romaine lettuce,romaine lettuce,270,1
anaheim chile,anaheim chile,51,1
coriander seeds,coriander seeds,395,1
fresh basil,fresh basil,1137,1
chopped parsley,chopped parsley,333,1
2% reduced-fat milk,2% reduced-fat milk,71,1
maple syrup,maple syrup,110,1
red wine vinegar,red wine vinegar,752,1
green chilies,green chilies,768,1
thyme,thyme,361,1
mirin,mirin,503,1
grated jack cheese,grated jack cheese,60,1
wonton wrappers,wonton wrappers,158,1
peeled tomatoes,peeled tomatoes,73,1
plain low-fat yogurt,plain low-fat yogurt,50,1
hominy,hominy,77,1
spring onions,spring onions,407,1
mustard powder,mustard powder,52,1
baking potatoes,baking potatoes,207,1
black peppercorns,black peppercorns,453,1
nonstick spray,nonstick spray,50,1
lemon grass,lemon grass,100,1
chipotles in adobo,chipotles in adobo,193,1
spring roll wrappers,spring roll wrappers,58,1
greek yogurt,greek yogurt,233,1
anise seed,anise seed,54,1
shaoxing wine,shaoxing wine,264,1
seasoned rice wine vinegar,seasoned rice wine vinegar,60,1
worcestershire sauce,worcestershire sauce,688,1
lobster,lobster,50,1
pecan halves,pecan halves,102,1
roasted red peppers,roasted red peppers,239,1
pitted kalamata olives,pitted kalamata olives,204,1
cinnamon sticks,cinnamon sticks,646,1
tomato purée,tomato purée,217,1
asafoetida,asafoetida,73,1
lentils,lentils,87,1
fresh herbs,fresh herbs,52,1
okra,okra,268,1
preserved lemon,preserved lemon,63,1
ice,ice,111,1
reduced sodium soy sauce,reduced sodium soy sauce,157,1
ground pork,ground pork,473,1
mint sprigs,mint sprigs,131,1
chopped walnuts,chopped walnuts,128,1
frozen corn kernels,frozen corn kernels,124,1
lard,lard,157,1
pearl onions,pearl onions,85,1
italian bread,italian bread,118,1
sliced green onions,sliced green onions,472,1
rum,rum,77,1
italian seasoning,italian seasoning,395,1
cream style corn,cream style corn,83,1
corn,corn,329,1
balsamic vinegar,balsamic vinegar,574,1
mango chutney,mango chutney,58,1
water chestnuts,water chestnuts,195,1
sunflower oil,sunflower oil,97,1
portabello mushroom,portabello mushroom,68,1
white mushrooms,white mushrooms,60,1
cauliflower florets,cauliflower florets,75,1
instant yeast,instant yeast,74,1
ground pepper,ground pepper,385,1
turbinado,turbinado,50,1
fresh oregano leaves,fresh oregano leaves,57,1
corn starch,corn starch,1757,1
iceberg lettuce,iceberg lettuce,164,1
herbs,herbs,87,1
light coconut milk,light coconut milk,156,1
rosemary,rosemary,107,1
canola oil,canola oil,1223,1
hamburger buns,hamburger buns,54,1
italian sausage,italian sausage,137,1
shrimp,shrimp,912,1
dark rum,dark rum,116,1
rice flour,rice flour,130,1
seeds,seeds,130,1
beans,beans,100,1
chile pepper,chile pepper,340,1
green chile,green chile,302,1
curry,curry,68,1
tomato ketchup,tomato ketchup,69,1
